ESTADO_ELECCION,NOMBRE_ASOCIACION,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,DISTRITO_ELECCION,SEXO_PROP,SEXO_SUP
MORELOS,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,MOJICA LINARES EMMANUEL ALBERTO,MARTINEZ CATALAN LUIS ENRIQUE,1-CUERNAVACA,H,H
MORELOS,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,GUADARRAMA GARCIA MARIA DEL ROCIO,MENDOZA LAUREANO XOCHILT ABIGAIL,2-JIUTEPEC,M,M
MORELOS,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,REYES CARMONA MONICA,LEZAMA BARRERA KAREN GIOVANNA,3-CUAUTLA,M,M
MORELOS,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,VARGAS SALGADO GERARDO,RUIZ ARCE JOAQUIN,4-JOJUTLA,H,H
MORELOS,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,AVILA PEREZ BERTHA OLIVA,VILLAFRANCA BARCENAS MARIA NIEVES,5-YAUTEPEC,M,M
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,SALINAS WOLBERG HERNAN,ARRAMBIDE MONTEMAYOR JORGE ALBERTO,1-SANTA CATARINA,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,FLORES ESCOBAR OSCAR ALEJANDRO,GUTIERREZ COVARRUBIAS OLEGARIO,2-APODACA,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,MASTRETTA LOPEZ JUAN RAMON,LOPEZ CRUZ JOSE ALBERTO,3-GRAL. ESCOBEDO,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,FLORES SUAREZ RICARDO,ALVARADO MENDOZA JULIO CÉSAR,4-SAN NICOLAS DE LOS GARZA,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,DURON SANCHEZ ELIZABETH DEL CARMEN,VILLARREAL MALDONADO ANA NATALIA,5-MONTERREY,M,M
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,GOMEZ CARDENAS ANNIA SARAHI,SORIA GUTIERREZ ALEJANDRA,6-MONTERREY,M,M
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,PARTIDA HERNANDEZ TANIA ELIZABETH,PEREZ VILLANUEVA NADIA IVETTE,7-GARCIA,M,M
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,PEÑA DORADO MARIA DEL CARMEN,GAMEZ GARZA DIANA ESPERANZA,8-GUADALUPE,M,M
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,HINOJOSA MALDONADO MARIA ALEJANDRA,MACIAS TREVIÑO MARIA DEL CARMEN,9-LINARES,M,M
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,LOPEZ CISNEROS JOSE MARTIN,GARCÍA MARQUEZ JUAN MARTIN,10-MONTERREY,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,ROBLEDO LEAL ERNESTO ALFONSO,SERNA VEGA RAFAEL ALEJANDRO,11-GUADALUPE,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,DIPUTADO FEDERAL MR,MARTINEZ MORIN BERTHA,GARZA RIOS MARIBEL,12-BENITO JUAREZ,M,M
AGUASCALIENTES,PARTIDO REVOLUCIONARIO INSTITUCIONAL,DIPUTADO FEDERAL MR,ESPARZA HERRERA NORMA,MEDINA DE LUNA FABIOLA,1-JESUS MARIA,M,M
AGUASCALIENTES,PARTIDO REVOLUCIONARIO INSTITUCIONAL,DIPUTADO FEDERAL MR,LOZANO RIVERA RIO JOSE CARLOS,RAMOS MICHAUS ABNER ABED,2-AGUASCALIENTES,H,H
AGUASCALIENTES,PARTIDO REVOLUCIONARIO INSTITUCIONAL,DIPUTADO FEDERAL MR,GONZALEZ MARTINEZ LIZETTE IVON,DE ALBA MUÑOZ KARINA GUADALUPE,3-AGUASCALIENTES,M,M
BAJA CALIFORNIA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,DIPUTADO FEDERAL MR,SALCEDO FLORES CELESTINO,CAMACHO LEDON RUBEN,1-MEXICALI,H,H
BAJA CALIFORNIA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,DIPUTADO FEDERAL MR,ARESTEGUI VERDUGO JOSE LAURO,CASTILLO JIMENEZ MARCO ANAXIMANDRO,2-MEXICALI,H,H
BAJA CALIFORNIA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,DIPUTADO FEDERAL MR,MARQUEZ RUBALCAVA GENESIS,FILATOFF FLORES FENKYA,3-ENSENADA,M,M
BAJA CALIFORNIA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,DIPUTADO FEDERAL MR,BARRETO GONZALEZ VIANCCA LIZBETH,SOLIS LOPEZ VERONICA DEL CARMEN,4-TIJUANA,M,M
