NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUPLENTE,CIRCUNSCRIPCION_ELECCION,SEXO_PROP,SEXO_SUP
PARTIDO ACCIÓN NACIONAL,1,DIPUTADO FEDERAL RP,TERRAZAS BACA PATRICIA,ADAME TORRES PERLA PAOLA,I,M,M
PARTIDO ACCIÓN NACIONAL,2,DIPUTADO FEDERAL RP,RUFFO APPEL ERNESTO,LUJANO SARABIA VICTOR IVAN,I,H,H
PARTIDO ACCIÓN NACIONAL,3,DIPUTADO FEDERAL RP,GARCIA GOMEZ MARTHA ELENA,GODINEZ ALARCON MAYELA LEONILA,I,M,M
PARTIDO ACCIÓN NACIONAL,4,DIPUTADO FEDERAL RP,MARES AGUILAR JOSÉ RIGOBERTO,CASTRO TRASVIÑA ARMANDO FIDEL,I,H,H
PARTIDO ACCIÓN NACIONAL,5,DIPUTADO FEDERAL RP,BONNAFOUX ALCARAZ MADELEINE,CORDOVA BUZANI BRENDA LIZETH,I,M,M
PARTIDO ACCIÓN NACIONAL,6,DIPUTADO FEDERAL RP,CAMBERO PEREZ JOSE RAMON,SANCHEZ ZATARAIN FERNANDO JESUS,I,H,H
PARTIDO ACCIÓN NACIONAL,7,DIPUTADO FEDERAL RP,MATA LOZANO LIZBETH,PALOMAREZ CHING MONICA JANETTE,I,M,M
PARTIDO ACCIÓN NACIONAL,8,DIPUTADO FEDERAL RP,CASTAÑOS VALENZUELA CARLOS HUMBERTO,ROJAS RIVERA JOSE DE JESUS,I,H,H
PARTIDO ACCIÓN NACIONAL,9,DIPUTADO FEDERAL RP,CAMPUZANO GONZALEZ GINA GERARDINA,CORTEZ MONTOYA YADIRA,I,M,M
PARTIDO ACCIÓN NACIONAL,10,DIPUTADO FEDERAL RP,MONRAZ IBARRA MIGUEL ANGEL,URZUA VILLALOBOS SERGIO HILARIO,I,H,H
PARTIDO ACCIÓN NACIONAL,11,DIPUTADO FEDERAL RP,RUBIO FERNANDEZ PAULINA,TEJEDA RENTERIA MERCEDES,I,M,M
PARTIDO ACCIÓN NACIONAL,12,DIPUTADO FEDERAL RP,GALVAN CAZARES DAVID SECUNDINO,ALVAREZ GARZA FRANCISCO JAVIER TADEO,I,H,H
PARTIDO ACCIÓN NACIONAL,13,DIPUTADO FEDERAL RP,MUÑOZ VARGAS MARITZA,CHACÓN CÁRDENAS LAURA ELENA,I,M,M
PARTIDO ACCIÓN NACIONAL,14,DIPUTADO FEDERAL RP,VALLADOLID RODRIGUEZ ANTONIO,CAÑEZ MORALES ANIBAL ALEXANDRO,I,H,H
PARTIDO ACCIÓN NACIONAL,15,DIPUTADO FEDERAL RP,PEREZ HERRERA VERONICA,TERRONES OCHOA ALEJANDRA ELIZABETH,I,M,M
PARTIDO ACCIÓN NACIONAL,16,DIPUTADO FEDERAL RP,PEREZ TORRES TRINIDAD,SANCHEZ PEREZ JUAN PABLO,I,H,H
PARTIDO ACCIÓN NACIONAL,17,DIPUTADO FEDERAL RP,HERNANDEZ SANDOVAL DANIELA,SALCIDO VELARDE CLAUDIA MELIZA,I,M,M
PARTIDO ACCIÓN NACIONAL,18,DIPUTADO FEDERAL RP,AGUILERA GARCIA JAIME ALONSO,AGUILERA GARCIA ALAN,I,H,H
PARTIDO ACCIÓN NACIONAL,19,DIPUTADO FEDERAL RP,RIVERA RIOS GABRIELA CONCEPCIÓN,GALAZ ANGULO ZULMA ELIZABETH,I,M,M
PARTIDO ACCIÓN NACIONAL,20,DIPUTADO FEDERAL RP,RAMIREZ AGUILAR VICTOR MANUEL,RODRIGUEZ SALIDO JOSE GIBRAN,I,H,H
PARTIDO ACCIÓN NACIONAL,21,DIPUTADO FEDERAL RP,DOMINGUEZ PLAZA BEATRIZ,GUZMAN ESQUIVEL MARIA FERNANDA,I,M,M
PARTIDO ACCIÓN NACIONAL,22,DIPUTADO FEDERAL RP,BORBOA BECERRA ERIC RICARDO,CASTAÑEDA CORDOVA HERNANDO,I,H,H
PARTIDO ACCIÓN NACIONAL,23,DIPUTADO FEDERAL RP,FRANCO BARRAGAN OLIVIA,PEREDA GUTIERREZ DIANA IVETTE,I,M,M
PARTIDO ACCIÓN NACIONAL,24,DIPUTADO FEDERAL RP,CARBALLO COLLINS FELIX MANUEL,OCHOA ROMERO KRISTIAN ALEXANDRO,I,H,H
PARTIDO ACCIÓN NACIONAL,25,DIPUTADO FEDERAL RP,RANGEL HUERTA LAURA INES,JIMENEZ CHAVEZ MARIA ELENA,I,M,M
PARTIDO ACCIÓN NACIONAL,26,DIPUTADO FEDERAL RP,RIOS DURAZO OSWALDO,AGUIRRE MARTINEZ CARLOS,I,H,H
