ESTADO_ELECCION,NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
MORELOS,PARTIDO ACCIÓN NACIONAL,1,SENADORES MR,CORTES MARTINEZ ERIKA,AYALA PINO EVELYN ANEL,M,M
MORELOS,PARTIDO ACCIÓN NACIONAL,2,SENADORES MR,AGUILAR CONTRERAS JOSE FRANCISCO,QUEVEDO NUÑEZ SERGIO RENE,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,1,SENADORES MR,FUENTES SOLIS VICTOR OSWALDO,GONZALEZ DELGADILLO JESUS HORACIO,H,H
NUEVO LEON,PARTIDO ACCIÓN NACIONAL,2,SENADORES MR,SADA ALANIS ALEJANDRA MARIA,SADA PEREZ VERONICA,M,M
AGUASCALIENTES,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,MARTINEZ RODRIGUEZ LORENA,MUÑOZ MORENO ANAYELI,M,M
AGUASCALIENTES,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,GRANADOS CORZO GUSTAVO ADOLFO,FEMATT TORRES RICARDO ALFREDO,H,H
BAJA CALIFORNIA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,ARREGUI IBARRA ALEJANDRO,MURGUIA OROZCO ALBERTO,H,H
BAJA CALIFORNIA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,PEREZ FLORIANO JUANA LAURA,GONZALEZ ELIZONDO CLAUDIA,M,M
BAJA CALIFORNIA SUR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,VALDIVIA ALVARADO JUAN ALBERTO FEDERICO,OLACHEA PEDRIN MIGUEL ANGEL,H,H
BAJA CALIFORNIA SUR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,HIRALES MEZA CLAUDIA LETICIA,ESCOBOSA HACH IRMA PAOLA,M,M
CHIHUAHUA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,BAEZA TERRAZAS JOSE REYES,MELENDEZ ORTEGA JUAN ANTONIO,H,H
CHIHUAHUA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,ZAPATA LUCERO ANA GEORGINA,DIAZ GUERRA MAYRA,M,M
CIUDAD DE MEXICO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,PAGES LLERGO REBOLLAR MARIA BEATRIZ,CARRILLO SALINAS GLORIA,M,M
CIUDAD DE MEXICO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,ALFARO CAZARES JOSE ENCARNACION,MALDONADO CASTORENA JOSE LUIS,H,H
DURANGO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,REBOLLO MENDOZA MARIA DEL ROCIO,IBARRA AVALOS ALIA LORENA,M,M
DURANGO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,LOPEZ PESCADOR JOSE RICARDO,AVILA GALINDO MANUEL JESUS,H,H
GUANAJUATO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,ETCHEVERRY ARANDA AZUL,MORAN GONZALEZ ALMA EVELIA,M,M
GUANAJUATO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,ZAVALA PROCELL JOSE GERARDO,MENDEZ PEREZ DENNY GIOVANI,H,H
JALISCO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,CORONA NAKAMURA MARIA DEL ROCIO,GARCIA CARREON ELVIA DORA,M,M
JALISCO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,CONTRERAS ZEPEDA HUGO,GONZALEZ APODACA JORGE ANGEL,H,H
MICHOACAN,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,IXTLAHUAC ORIHUELA JUAN ANTONIO,CHAVEZ HERRERA AURELIO,H,H
MICHOACAN,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,RUIZ GONZALEZ XOCHITL GABRIELA,SANCHEZ CACHU MONICA BERENICE,M,M
NAYARIT,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,BUGARIN RODRIGUEZ JASMINE MARIA,PARTIDA GUZMAN MARTHA ROCIO,M,M
NAYARIT,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,NARVAEZ NAVARRO MANUEL,MEJIA SORIA JOSE MARTIN,H,H
NUEVO LEON,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,MENDOZA GARZA JORGE,OLAIZ ORTIZ EDGAR RODOLFO,H,H
NUEVO LEON,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,DE LOS SANTOS GONZALEZ MARTHA,CANO LOPEZ LORENA,M,M
PUEBLA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,LASTIRI QUIROS JUAN CARLOS,CELIS AGUIRRE JUAN MANUEL,H,H
PUEBLA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,CEJA GARCIA XITLALIC,JUAREZ GARCIA MARIA GUADALUPE GRACIELA,M,M
QUERETARO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,LUQUE HUDSON ERNESTO,CALZADA MERCADO MIGUEL,H,H
QUERETARO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,SILVA SOLORZANO ANA BERTHA,TEJEIDA RIVAS MA ISABEL EMMA,M,M
TABASCO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,GIL JIMENEZ CANDITA VICTORIA,BOCANEGRA BROCA YRMA DEL CARMEN,M,M
TABASCO,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,ANDRADE DIAZ MANUEL,ROSIQUE LEON DIEGO,H,H
TAMAULIPAS,PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES MR,ABDALA CARMONA YAHLEEL,HERRERA GUEVARA ANA MARIA,M,M
TAMAULIPAS,PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES MR,GUEVARA COBOS LUIS ALEJANDRO,ACEBO SALAMAN JESUS GUILLERMO,H,H
MORELOS,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,1,SENADORES MR,FIGUEROA PERALTA HORTENCIA,DOMINGUEZ RIVERA MARIA TERESA,M,M
MORELOS,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,2,SENADORES MR,CALVO HUERTA RICARDO,FLORES MIRANDA PASCUAL,H,H
NUEVO LEON,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,1,SENADORES MR,MEDINA MARTINEZ JOSE ROBERTO,GOMEZ VILLAREAL JOSE ANTONIO,H,H
NUEVO LEON,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,2,SENADORES MR,GARZA SALINAS THELMA CORA,GUAJARDO BUERON RAQUEL,M,M
HIDALGO,PARTIDO DEL TRABAJO,1,SENADORES MR,JIMENEZ RAMIREZ MAXIMO,YAÑEZ MUÑIZ JORGE ANTONIO,H,H
HIDALGO,PARTIDO DEL TRABAJO,2,SENADORES MR,DELGADILLO ISLAS GLORIA LIZBETH,JIMENEZ BAUTISTA SANDRA PATRICIA,M,M
AGUASCALIENTES,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,ORNELAS ALVAREZ GABRIELA SARAI,ALVAREZ MEJIA XOCHIQUETZAL EDITH,M,M
AGUASCALIENTES,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,LOZANO HERRERA CESAR,SERRANO DOMIGUEZ JAIME,H,H
BAJA CALIFORNIA,PARTIDO VERDE ECOLOGISTA DE MÉXICO,1,SENADORES MR,ANAYA BARRIGUETE IGNACIO,MEDINA CRESPO JOSE DE JESUS,H,H
BAJA CALIFORNIA,PARTIDO VERDE ECOLOGISTA DE MÉXICO,2,SENADORES MR,CORONA GONZALEZ VERONICA JUDITH,VAZQUEZ ORTEGA DIANA MARGARITA,M,M
