NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
PARTIDO ACCIÓN NACIONAL,1,SENADORES RP,VAZQUEZ MOTA JOSEFINA EUGENIA,LUNA RUIZ GLORIA TRINIDAD,M,M
PARTIDO ACCIÓN NACIONAL,2,SENADORES RP,MANCERA ESPINOSA MIGUEL ANGEL,ADAME ALEMAN JUAN PABLO,H,H
PARTIDO ACCIÓN NACIONAL,3,SENADORES RP,ROSALES SAN ROMAN INDIRA DE JESUS,VAZQUEZ SAUT JUDITH FABIOLA,M,M
PARTIDO ACCIÓN NACIONAL,4,SENADORES RP,ZEPEDA VIDALES DAMIAN,SERRATO CASTELL LUIS GERARDO,H,H
PARTIDO ACCIÓN NACIONAL,5,SENADORES RP,LOPEZ RABADAN KENIA,TAMAYO HERRERA YADHIRA YVETTE,M,M
PARTIDO ACCIÓN NACIONAL,6,SENADORES RP,MORENO VALLE ROSAS RAFAEL,MOYA CLEMENTE ROBERTO JUAN,H,H
PARTIDO ACCIÓN NACIONAL,7,SENADORES RP,ROMERO CASTILLO MARIA GUADALUPE CECILIA,ALEMAN OLVERA EMMA MARGARITA,M,M
PARTIDO ACCIÓN NACIONAL,8,SENADORES RP,CORTES MENDOZA MARKO ANTONIO,CORRAL ESTRADA HERMINIO,H,H
PARTIDO ACCIÓN NACIONAL,9,SENADORES RP,AGUILAR RAMIREZ ADRIANA,MONTAÑO SALCIDO MARIA BELEN DEL CARMEN,M,M
PARTIDO ACCIÓN NACIONAL,10,SENADORES RP,BRAVO MENA LUIS FELIPE,ESPINA VON ROEHRICH JOSE,H,H
PARTIDO ACCIÓN NACIONAL,11,SENADORES RP,TALAVERA HERNANDEZ MARIA ELOISA,PANIAGUA FIGUEROA LUZ ARGELIA,M,M
PARTIDO ACCIÓN NACIONAL,12,SENADORES RP,ABADIA PARDO MIGUEL ANGEL,DE LA BARREDA HERNANDEZ ALBERTO,H,H
PARTIDO ACCIÓN NACIONAL,13,SENADORES RP,VARGAS LICEA MARIBEL,MARTINEZ GUTIERREZ ALMA REBECA,M,M
PARTIDO ACCIÓN NACIONAL,14,SENADORES RP,VALENCIA TERAN JESUS FRANCISCO,NIEBLAS BARRANTES FARIDH CONCEPCION,H,H
PARTIDO ACCIÓN NACIONAL,15,SENADORES RP,CANCELADO,RIQUELME ALCANTAR ALEJANDRA,M,M
PARTIDO ACCIÓN NACIONAL,16,SENADORES RP,CHACÓN CÁRDENAS ROBERTO,MAGDALENO AVILÉZ SAJIDH SAÚL,H,H
PARTIDO ACCIÓN NACIONAL,17,SENADORES RP,CASTRO IGLESIAS ANA LORENA,MENDEZ CHAVEZ LORENIA BEATRIZ,M,M
PARTIDO ACCIÓN NACIONAL,18,SENADORES RP,GARCIA FONSECA MANUEL RUDECINDO,GUERRA LOPEZ NEGRETE SERGIO,H,H
PARTIDO ACCIÓN NACIONAL,19,SENADORES RP,MEJIA FLORES WENDY ANAHI,GUTIERREZ VALTIERRA DIANA ESTEFANIA,M,M
PARTIDO ACCIÓN NACIONAL,20,SENADORES RP,LOPEZ HERNANDEZ GILDARDO,HERNANDEZ ROJO AGUSTIN,H,H
PARTIDO ACCIÓN NACIONAL,21,SENADORES RP,VASQUEZ RUIZ IRAZEMA,MEXIA ARRIETA SARA DEL CARMEN,M,M
PARTIDO ACCIÓN NACIONAL,22,SENADORES RP,MENESES PEREZ RAMON SAUL,CASTILLO CASTILLO OSCAR OMAR,H,H
PARTIDO ACCIÓN NACIONAL,23,SENADORES RP,GARZA CISNEROS KARINA DOLORES,CHAZARO ZAMUDIO MAGALY ITZEL,M,M
PARTIDO ACCIÓN NACIONAL,24,SENADORES RP,MORALES KUHN RICARDO,GAMBOA ALVA OCTAVIO ALEJANDRO,H,H
PARTIDO ACCIÓN NACIONAL,25,SENADORES RP,DE AVILA RODRIGUEZ CARMINA MONSERRATH,CANUL CETZAL KAREN ANAHI,M,M
PARTIDO ACCIÓN NACIONAL,26,SENADORES RP,ACOSTA SANCHEZ JOSE ARMANDO,ROA ESCALONA LUIS,H,H
PARTIDO ACCIÓN NACIONAL,27,SENADORES RP,COLLINS  CARLA DENIS,MALDONADO JUAREZ IRMA BERENICE,M,M
PARTIDO ACCIÓN NACIONAL,28,SENADORES RP,MARTINEZ GUERRERO MARCO ANTONIO,HERNANDEZ PEÑAFLOR MIGUEL ALFREDO,H,H
PARTIDO ACCIÓN NACIONAL,29,SENADORES RP,TREJO CANO GENOVEVA,RIVAS MEJIA BARBARA KARIME,M,M
PARTIDO ACCIÓN NACIONAL,30,SENADORES RP,BALDERAS COLIN LUIS IVAN,OROZCO CARMONA MARCO ANTONIO,H,H
PARTIDO ACCIÓN NACIONAL,31,SENADORES RP,RAMIREZ GARCIA YAZMIN ANDREA,ROSAS GARCIA ALEJANDRA,M,M
PARTIDO ACCIÓN NACIONAL,32,SENADORES RP,SUAREZ SUAREZ GUSTAVO,GUERRA REYES CRISTOBAL RAUL,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,1,SENADORES RP,RUIZ MASSIEU SALINAS CLAUDIA,GUILLEN VICENTE MERCEDES DEL CARMEN,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,2,SENADORES RP,ACEVES DEL OLMO CARLOS HUMBERTO,CALZADA ROVIROSA JOSE EDUARDO,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,3,SENADORES RP,RUBIO MARQUEZ VANESSA,SANCHEZ ARREDONDO NANCY GUADALUPE,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,4,SENADORES RP,OSORIO CHONG MIGUEL ANGEL,GUZMAN ORTIZ FRANCISCO,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,5,SENADORES RP,PAREDES RANGEL BEATRIZ ELENA,ESQUEDA LLANES MARIA CLAUDIA,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,6,SENADORES RP,AVILA VILLEGAS ERUVIEL,ESCAJEDA JIMENEZ JOSE RUBEN,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,7,SENADORES RP,CRUZ SANCHEZ LORENA,MONTESINOS MENDOZA CAROLINA CHARBEL,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,8,SENADORES RP,ESTEFAN CHIDIAC CHARBEL JORGE,LOPEZ ZAVALA JAVIER,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,9,SENADORES RP,ECHEVERRIA MARTINEZ JULIA,GUTIERREZ GIJON NALLELY ILEANA,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,10,SENADORES RP,GAMBOA MINER PABLO,PEREZ VALDES DANIEL,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,11,SENADORES RP,VIGGIANO AUSTRIA ALMA CAROLINA,HERNANDEZ ESCOBAR ALMA BERENICE,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,12,SENADORES RP,PACHECO MARTINEZ FERNANDO,LOPEZ GONZALEZ TOMAS,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,13,SENADORES RP,JASSO NIETO OFELIA SOCORRO,AYON CASTRO MIRIAM JOSEFINA,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,14,SENADORES RP,SALGADO DELGADO FERNANDO,RUIZ ANGELES ROBERTO,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,15,SENADORES RP,RAMIREZ GUTIERREZ IRMA PATRICIA,OCAMPO TORRES NAYELY,M,M
PARTIDO REVOLUCIONARIO INSTITUCIONAL,16,SENADORES RP,MEJIA SAMANIEGO JESUS RIGOBERTO,MERCADO ROSALES JOSE ANGEL,H,H
PARTIDO REVOLUCIONARIO INSTITUCIONAL,17,SENADORES RP,LUNA LOPEZ THANIA,CEVALLOS SAAD ODETTE ISABEL,M,M
